"Id","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
26,"RL",110,14230,"1","NoApp","Reg","Lvl","4","Corner","1","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"4","3","PConc","4","3","1","1",0,"1",0,1566,1566,"GasA","5","1","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"4",7,"5",1,"4","Attchd",3,"2",3,890,"3","3","3",0,56,0,0,0,0,"0","NoApp","NoApp",0,7,2009,"WD","Normal",256300
27,"RL",60,7200,"1","NoApp","Reg","Lvl","4","Corner","1","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","CBlock","3","3","2","4",234,"3",486,180,900,"GasA","3","1","SBrkr",900,0,0,900,0,1,1,0,3,1,"4",5,"5",0,"0","Detchd",3,"1",2,576,"3","3","3",222,32,0,0,0,0,"0","NoApp","NoApp",0,5,2010,"WD","Normal",134800
28,"RL",98,11478,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"4","3","PConc","5","3","1","6",1218,"1",0,486,1704,"GasA","5","1","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"4",7,"5",1,"4","Attchd",3,"2",3,772,"3","3","3",0,50,0,0,0,0,"0","NoApp","NoApp",0,5,2010,"WD","Normal",306000
29,"RL",47,16321,"1","NoApp","IR1","Lvl","4","CulDSac","1","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","CBlock","3","3","4","4",1277,"1",0,207,1484,"GasA","3","1","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"3",6,"5",2,"4","Attchd",2,"2",1,319,"3","3","3",288,258,0,0,0,0,"0","NoApp","NoApp",0,12,2006,"WD","Normal",207500
30,"RM",60,6324,"1","NoApp","IR1","Lvl","4","Inside","1","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","BrkTil","3","3","1","1",0,"1",0,520,520,"GasA","2","0","SBrkr",520,0,0,520,0,0,1,0,1,1,"2",4,"5",0,"0","Detchd",1,"1",1,240,"2","3","3",49,0,87,0,0,0,"0","NoApp","NoApp",0,5,2008,"WD","Normal",68500
31,"C (all)",50,8500,"1","Pave","Reg","Lvl","4","Inside","1","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"3","2","BrkTil","3","3","1","1",0,"1",0,649,649,"GasA","3","0","SBrkr",649,668,0,1317,0,0,1,0,3,1,"3",6,"5",0,"0","Detchd",1,"1",1,250,"3","2","1",0,54,172,0,0,0,"0","MnPrv","NoApp",0,7,2008,"WD","Normal",40000
32,"RL",69,8544,"1","NoApp","IR1","Lvl","4","CulDSac","1","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","1","1",0,"1",0,1228,1228,"GasA","4","1","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"4",6,"5",0,"0","Attchd",2,"1",1,271,"3","3","3",0,65,0,0,0,0,"0","MnPrv","NoApp",0,6,2008,"WD","Normal",149350
33,"RL",85,11049,"1","NoApp","Reg","Lvl","4","Corner","1","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","5","3","3","1",0,"1",0,1234,1234,"GasA","5","1","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"4",7,"5",0,"0","Attchd",3,"2",2,484,"3","3","3",0,30,0,0,0,0,"0","NoApp","NoApp",0,1,2008,"WD","Normal",179900
34,"RL",70,10552,"1","NoApp","IR1","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"3","3","CBlock","3","3","1","3",1018,"1",0,380,1398,"GasA","4","1","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"4",6,"5",1,"4","Attchd",2,"2",2,447,"3","3","3",0,38,0,0,0,0,"0","NoApp","NoApp",0,4,2010,"WD","Normal",165500
35,"RL",60,7313,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"5","3","PConc","5","3","1","6",1153,"1",0,408,1561,"GasA","5","1","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"5",6,"5",1,"4","Attchd",3,"3",2,556,"3","3","3",203,47,0,0,0,0,"0","NoApp","NoApp",0,8,2007,"WD","Normal",277500
36,"RL",108,13418,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"4","3","PConc","5","3","3","1",0,"1",0,1117,1117,"GasA","5","1","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"4",9,"5",1,"4","BuiltIn",3,"3",3,691,"3","3","3",113,32,0,0,0,0,"0","NoApp","NoApp",0,9,2006,"WD","Normal",309000
37,"RL",112,10859,"1","NoApp","Reg","Lvl","4","Corner","1","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","1","1",0,"1",0,1097,1097,"GasA","5","1","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"3",6,"5",0,"0","Attchd",3,"1",2,672,"3","3","3",392,64,0,0,0,0,"0","NoApp","NoApp",0,6,2009,"WD","Normal",145000
38,"RL",74,8532,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"3","3","CBlock","3","3","1","3",1213,"1",0,84,1297,"GasA","4","1","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"3",5,"5",1,"3","Attchd",2,"3",2,498,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,10,2009,"WD","Normal",153000
39,"RL",68,7922,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","4","CBlock","3","3","1","6",731,"1",0,326,1057,"GasA","3","1","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"4",5,"5",0,"0","Detchd",2,"1",1,246,"3","3","3",0,52,0,0,0,0,"0","NoApp","NoApp",0,1,2010,"WD","Abnorml",109000
40,"RL",65,6040,"1","NoApp","Reg","Lvl","4","Inside","1","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"3","3","PConc","0","0","0","0",0,"0",0,0,0,"GasA","3","0","FuseP",1152,0,0,1152,0,0,2,0,2,2,"2",6,"5",0,"0","NoApp",0,"0",0,0,"0","0","1",0,0,0,0,0,0,"0","NoApp","NoApp",0,6,2008,"WD","AdjLand",82000
41,"RL",84,8658,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"3","3","CBlock","3","3","1","3",643,"1",0,445,1088,"GasA","5","1","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"3",6,"5",1,"3","Attchd",2,"2",2,440,"3","3","3",0,138,0,0,0,0,"0","GdWo","NoApp",0,12,2006,"WD","Abnorml",160000
42,"RL",115,16905,"1","NoApp","Reg","Lvl","4","Inside","1","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","4","CBlock","3","3","4","4",967,"1",0,383,1350,"GasA","4","1","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"3",5,"5",2,"4","Attchd",2,"2",1,308,"3","3","2",0,104,0,0,0,0,"0","NoApp","NoApp",0,7,2007,"WD","Normal",170000
43,"RL",69,9180,"1","NoApp","IR1","Lvl","4","CulDSac","1","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","4","3","3","5",747,"2",93,0,840,"GasA","4","1","SBrkr",884,0,0,884,1,0,1,0,2,1,"4",5,"5",0,"0","Attchd",2,"2",2,504,"3","4","3",240,0,0,0,0,0,"0","MnPrv","NoApp",0,12,2007,"WD","Normal",144000
44,"RL",69,9200,"1","NoApp","IR1","Lvl","4","CulDSac","1","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"3","3","CBlock","4","3","3","2",280,"4",491,167,938,"GasA","3","1","SBrkr",938,0,0,938,1,0,1,0,3,1,"3",5,"5",0,"0","Detchd",2,"1",1,308,"3","3","3",145,0,0,0,0,0,"0","MnPrv","NoApp",0,7,2008,"WD","Normal",130250
45,"RL",70,7945,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"3","3","CBlock","3","3","1","5",179,"4",506,465,1150,"GasA","5","1","FuseA",1150,0,0,1150,1,0,1,0,3,1,"3",6,"5",0,"0","Attchd",2,"2",1,300,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,5,2006,"WD","Normal",141000
46,"RL",61,7658,"1","NoApp","Reg","Lvl","4","Inside","1","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"5","3","PConc","5","3","1","6",456,"1",0,1296,1752,"GasA","5","1","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"5",6,"5",1,"4","Attchd",3,"2",2,576,"3","3","3",196,82,0,0,0,0,"0","NoApp","NoApp",0,2,2010,"WD","Normal",319900
47,"RL",48,12822,"1","NoApp","IR1","Lvl","4","CulDSac","1","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","5","3","1","6",1351,"1",0,83,1434,"GasA","5","1","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"4",6,"5",1,"5","Attchd",3,"2",2,670,"3","3","3",168,43,0,0,198,0,"0","NoApp","NoApp",0,8,2009,"WD","Abnorml",239686
48,"FV",84,11096,"1","NoApp","Reg","Lvl","4","Inside","1","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"4","3","PConc","4","3","3","6",24,"1",0,1632,1656,"GasA","5","1","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"4",7,"5",0,"0","Attchd",3,"2",3,826,"3","3","3",0,146,0,0,0,0,"0","NoApp","NoApp",0,7,2007,"WD","Normal",249700
49,"RM",33,4456,"1","NoApp","Reg","Lvl","4","Inside","1","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","BrkTil","3","3","1","1",0,"1",0,736,736,"GasA","4","1","SBrkr",736,716,0,1452,0,0,2,0,2,3,"3",8,"5",0,"0","NoApp",0,"0",0,0,"0","0","1",0,0,102,0,0,0,"0","NoApp","NoApp",0,6,2009,"New","Partial",113000
50,"RL",66,7742,"1","NoApp","Reg","Lvl","4","Inside","1","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","1","4",763,"1",0,192,955,"GasA","5","1","SBrkr",955,0,0,955,1,0,1,0,3,1,"3",6,"5",0,"0","Attchd",2,"1",1,386,"3","3","3",0,0,0,0,0,0,"0","MnPrv","NoApp",0,1,2007,"WD","Normal",127000
51,"RL",69,13869,"1","NoApp","IR2","Lvl","4","Corner","1","Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","4","3","3","6",182,"1",0,612,794,"GasA","4","1","SBrkr",794,676,0,1470,0,1,2,0,3,1,"3",6,"5",0,"0","Attchd",3,"3",2,388,"3","3","3",0,75,0,0,0,0,"0","NoApp","NoApp",0,7,2007,"WD","Normal",177000
52,"RM",52,6240,"1","NoApp","Reg","Lvl","4","Inside","1","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","PConc","3","3","1","1",0,"1",0,816,816,"GasA","3","1","SBrkr",816,0,360,1176,0,0,1,0,3,1,"3",6,"5",1,"4","Detchd",3,"1",2,528,"3","3","3",112,0,0,0,0,0,"0","MnPrv","Shed",400,9,2006,"WD","Normal",114500
53,"RM",110,8472,"0","NoApp","IR2","Bnk","4","Corner","2","IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","3","CBlock","4","3","4","2",104,"6",712,0,816,"GasA","3","0","SBrkr",816,0,0,816,1,0,1,0,2,1,"3",5,"5",0,"0","CarPort",2,"1",2,516,"3","3","3",106,0,0,0,0,0,"0","NoApp","NoApp",0,5,2010,"WD","Normal",110000
